,home_team,away_team,home_shots_prop,away_shots_prop,home_corsi_prop,away_corsi_prop,home_fenwick_prop,away_fenwick_prop,home_penalties_prop,away_penalties_prop,home_hits_prop,away_hits_prop,home_takeaways_prop,away_takeaways_prop,game_end
0,Toronto Maple Leafs,Ottawa Senators,0.5961538461538461,0.38461538461538464,0.5111111111111111,0.4777777777777778,0.5675675675675675,0.4189189189189189,0.375,0.5,0.3924050632911392,0.5949367088607594,0.7272727272727273,0.18181818181818182,home win
1,Philadelphia Flyers,Boston Bruins,0.46774193548387094,0.5161290322580645,0.44642857142857145,0.5446428571428571,0.42528735632183906,0.5632183908045977,0.5,0.45,0.4626865671641791,0.5223880597014925,0.5,0.42857142857142855,home win
2,Toronto Maple Leafs,Ottawa Senators,0.45098039215686275,0.5294117647058824,0.46938775510204084,0.5204081632653061,0.49333333333333335,0.49333333333333335,0.42857142857142855,0.42857142857142855,0.3974358974358974,0.5897435897435898,0.47058823529411764,0.47058823529411764,away win
3,Arizona Coyotes,St. Louis Blues,0.4,0.5,0.4,0.5,0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,away win
4,Pittsburgh Penguins,Columbus Blue Jackets,0.5396825396825397,0.4444444444444444,0.528,0.464,0.5494505494505495,0.43956043956043955,0.5,0.375,0.5657894736842105,0.42105263157894735,0.625,0.3125,home win
5,Washington Capitals,Buffalo Sabres,0.48214285714285715,0.5,0.5,0.49019607843137253,0.48717948717948717,0.5,0.5714285714285714,0.2857142857142857,0.6410256410256411,0.3333333333333333,0.6,0.3,away win
6,Minnesota Wild,Colorado Avalanche,0.5806451612903226,0.4032258064516129,0.5652173913043478,0.4260869565217391,0.5952380952380952,0.39285714285714285,0.4444444444444444,0.4444444444444444,0.38461538461538464,0.6,0.7142857142857143,0.14285714285714285,home win
7,Arizona Coyotes,Anaheim Ducks,0.3333333333333333,0.5,0.3333333333333333,0.5,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,0.0,0.0,away win
8,Edmonton Oilers,Winnipeg Jets,0.4642857142857143,0.5178571428571429,0.5288461538461539,0.46153846153846156,0.48717948717948717,0.5,0.5,0.375,0.5254237288135594,0.4576271186440678,0.6842105263157895,0.2631578947368421,home win
9,Vancouver Canucks,Calgary Flames,0.3783783783783784,0.6081081081081081,0.3893129770992366,0.6030534351145038,0.375,0.6145833333333334,0.5,0.4444444444444444,0.4418604651162791,0.5348837209302325,0.5,0.4,away win
