,Unnamed: 0,date,game_id,home_team,home_score,away_team,away_score,season,game_state,home_shots,away_shots,away_corsi,home_corsi,home_fenwick,away_fenwick,home_mean_x,away_mean_x,home_mean_y,away_mean_y,home_penalties,away_penalties,home_hits,away_hits,home_takeaways,away_takeaways
26,26,2022-09-28,2022010027,Dallas Stars,4,Arizona Coyotes,3,20222023,Final,4,3,3,4,4,3,,,,,0,0,0,0,0,0
27,27,2022-09-28,2022010028,Winnipeg Jets,5,Ottawa Senators,3,20222023,Final,24,27,51,48,34,39,6.8203125,-4.071428571428571,3.7578125,0.6607142857142857,2,3,26,24,10,6
28,28,2022-09-28,2022010029,Chicago Blackhawks,1,St. Louis Blues,4,20222023,Final,32,22,46,46,40,33,1.0619469026548674,-3.1071428571428568,-1.407079646017699,1.5535714285714286,5,5,12,16,11,14
29,29,2022-09-28,2022010030,Colorado Avalanche,2,Minnesota Wild,5,20222023,Final,41,26,43,67,52,33,-9.701388888888891,-10.009900990099007,-0.2777777777777778,-0.48514851485148514,10,7,23,22,4,4
30,30,2022-09-28,2022010031,Seattle Kraken,3,Calgary Flames,0,20222023,Final,35,25,49,64,45,34,-0.3025210084033613,-0.6153846153846154,2.5714285714285716,-0.31868131868131866,6,3,15,9,3,2
31,31,2022-09-28,2022010032,San Jose Sharks,5,Anaheim Ducks,4,20222023,Final,29,30,47,60,37,39,3.658333333333333,-3.315384615384616,-3.6166666666666667,-2.1846153846153844,3,4,21,28,9,14
32,32,2022-09-28,2022010033,Columbus Blue Jackets,4,Buffalo Sabres,1,20222023,Final,31,23,45,50,40,34,0.1935483870967742,-7.311111111111112,0.11290322580645161,-1.4222222222222223,4,1,25,10,11,3
33,33,2022-09-28,2022010035,Toronto Maple Leafs,3,Montréal Canadiens,0,20222023,Final,29,27,53,56,41,39,1.1493506493506491,1.7164179104477613,-0.22077922077922077,2.5223880597014925,3,4,41,39,12,8
34,34,2022-09-28,2022010036,Philadelphia Flyers,1,Washington Capitals,3,20222023,Final,21,27,49,43,31,38,-4.403100775193798,8.783018867924529,-0.31007751937984496,0.5283018867924528,3,1,46,22,2,4
35,35,2022-09-28,2022010037,Detroit Red Wings,2,Chicago Blackhawks,4,20222023,Final,33,22,39,51,42,29,-17.315789473684212,0.3364485981308411,-3.917293233082707,-3.0186915887850465,4,3,36,25,8,14
36,36,2022-09-29,2022010038,Calgary Flames,4,Edmonton Oilers,0,20222023,Final,34,21,43,68,62,27,-17.633093525179856,-2.085714285714286,-2.366906474820144,-4.980952380952381,3,3,21,13,8,7
37,37,2022-09-29,2022010039,Anaheim Ducks,3,Arizona Coyotes,1,20222023,Final,23,29,49,53,38,37,5.8682170542635665,2.8661417322834644,1.2015503875968991,-4.2047244094488185,12,13,21,22,6,7
38,38,2022-09-29,2022010040,Vegas Golden Knights,7,Colorado Avalanche,1,20222023,Final,28,26,38,53,39,34,6.470588235294117,18.165217391304353,-1.2720588235294117,-3.0434782608695654,4,2,32,48,5,5
39,39,2022-09-29,2022010041,Los Angeles Kings,1,San Jose Sharks,3,20222023,Final,1,3,3,1,1,3,,,,,0,0,0,0,0,0
40,40,2022-09-29,2022010042,Florida Panthers,2,Carolina Hurricanes,5,20222023,Final,30,28,43,46,40,31,-0.5377358490566038,10.990099009900993,-2.509433962264151,-1.495049504950495,5,6,11,8,10,5
41,41,2022-09-29,2022010044,New York Rangers,2,New Jersey Devils,5,20222023,Final,17,36,48,38,28,42,5.077669902912621,-1.4090909090909092,-0.08737864077669903,-1.5272727272727273,5,3,29,23,6,5
42,42,2022-09-29,2022010045,Montréal Canadiens,3,Winnipeg Jets,4,20222023,Final,25,25,50,52,38,33,-10.077519379844961,-6.110236220472442,-0.6589147286821705,-0.9291338582677166,5,8,25,25,4,6
43,43,2022-09-30,2022010043,Tampa Bay Lightning,0,Nashville Predators,2,20222023,Final,30,31,57,46,35,45,-3.5166666666666666,0.9545454545454546,1.3333333333333333,-3.477272727272727,4,5,30,26,10,10
44,44,2022-09-30,2022010046,St. Louis Blues,4,Columbus Blue Jackets,2,20222023,Final,21,35,57,50,35,47,-5.357798165137615,-3.9312977099236637,-2.853211009174312,-1.7404580152671756,6,6,18,28,7,8
45,45,2022-09-30,2022010047,Dallas Stars,2,Minnesota Wild,5,20222023,Final,35,28,57,62,53,41,-8.035460992907801,7.20353982300885,-2.0851063829787235,2.415929203539823,6,5,19,12,4,9
46,46,2022-09-30,2022010048,Vancouver Canucks,3,Seattle Kraken,4,20222023,Final,36,29,54,68,56,38,-4.472602739726027,-3.175572519083969,-1.8972602739726028,-1.5572519083969465,7,9,32,30,8,4
47,47,2022-09-30,2022010049,Nashville Predators,7,Tampa Bay Lightning,1,20222023,Final,28,28,48,46,38,37,5.9016393442622945,-2.4864864864864864,-0.6475409836065574,2.4504504504504503,9,10,18,22,7,3
48,48,2022-09-30,2022010050,New Jersey Devils,1,New York Rangers,2,20222023,Final,26,37,60,48,33,51,-6.457142857142857,-10.825688073394497,2.9238095238095236,2.9357798165137616,2,1,14,12,4,3
49,49,2022-09-30,2022010051,Ottawa Senators,3,Toronto Maple Leafs,6,20222023,Final,3,6,6,3,3,6,,,,,0,0,0,0,0,0
50,50,2022-09-30,2022010052,Detroit Red Wings,0,Washington Capitals,2,20222023,Final,19,31,52,40,27,41,1.3052631578947371,1.3559322033898304,-4.484210526315789,-1.4491525423728813,3,3,25,31,4,2
51,51,2022-10-01,2022010053,Edmonton Oilers,2,Calgary Flames,1,20222023,Final,38,22,48,58,47,28,-7.291666666666668,-10.717557251908396,2.75,0.2595419847328244,6,6,27,30,13,12
52,52,2022-10-01,2022010054,Anaheim Ducks,4,San Jose Sharks,1,20222023,Final,31,31,59,58,43,49,19.34285714285714,4.761904761904762,4.514285714285714,-0.023809523809523808,6,6,10,22,7,2
53,53,2022-10-01,2022010055,Vegas Golden Knights,3,San Jose Sharks,7,20222023,Final,30,39,57,48,38,44,-0.4601769911504425,13.81896551724138,1.5044247787610618,0.8189655172413793,3,4,15,22,4,5
54,54,2022-10-01,2022010056,Carolina Hurricanes,4,Florida Panthers,3,20222023,Final,47,10,36,82,74,20,-10.032679738562091,-3.5192307692307687,-2.0326797385620914,-0.057692307692307696,3,4,14,18,10,7
55,55,2022-10-01,2022010057,Boston Bruins,4,Philadelphia Flyers,0,20222023,Final,26,21,37,40,33,31,-6.45945945945946,-20.674157303370787,0.43243243243243246,1.3707865168539326,6,6,27,15,8,5
56,56,2022-10-01,2022010058,Buffalo Sabres,3,Pittsburgh Penguins,1,20222023,Final,35,33,50,51,41,41,12.44,-6.288659793814433,0.56,-2.597938144329897,4,7,4,8,2,2
57,57,2022-10-01,2022010059,Ottawa Senators,5,Montréal Canadiens,4,20222023,Final,34,16,30,53,43,21,-3.2290076335877864,7.1265822784810124,-2.0916030534351147,-0.620253164556962,3,5,24,12,5,2
58,58,2022-10-01,2022010060,Columbus Blue Jackets,2,Washington Capitals,1,20222023,Final,20,35,51,45,32,45,-2.0760869565217392,0.9009900990099008,-0.5869565217391305,-0.22772277227722773,3,2,13,15,2,6
59,59,2022-10-02,2022010061,St. Louis Blues,2,Dallas Stars,5,20222023,Final,2,5,5,2,2,5,,,,,0,0,0,0,0,0
60,60,2022-10-02,2022010062,Winnipeg Jets,2,Edmonton Oilers,3,20222023,Final,36,28,50,52,44,35,-0.09523809523809523,1.536,2.126984126984127,-2.08,7,8,23,24,3,4
