,date,game_id,home_team,home_score,away_team,away_score,season,game_state,home_shots,away_shots,away_corsi,home_corsi,home_fenwick,away_fenwick,home_mean_x,away_mean_x
43,2022-09-30,2022010043,Tampa Bay Lightning,0,Nashville Predators,2,20222023,Final,30,31,57,46,35,45,-3.5166666666666666,0.9545454545454546
44,2022-09-30,2022010046,St. Louis Blues,4,Columbus Blue Jackets,2,20222023,Final,21,35,57,50,35,47,-5.3577981651376145,-3.931297709923664
45,2022-09-30,2022010047,Dallas Stars,2,Minnesota Wild,5,20222023,Final,35,28,57,62,53,41,-8.035460992907801,7.20353982300885
46,2022-09-30,2022010048,Vancouver Canucks,3,Seattle Kraken,4,20222023,Final,36,29,54,68,56,38,-4.472602739726027,-3.1755725190839694
47,2022-09-30,2022010049,Nashville Predators,7,Tampa Bay Lightning,1,20222023,Final,28,28,48,46,38,37,5.901639344262295,-2.4864864864864864
48,2022-09-30,2022010050,New Jersey Devils,1,New York Rangers,2,20222023,Final,26,37,60,48,33,51,-6.457142857142857,-10.825688073394495
49,2022-09-30,2022010051,Ottawa Senators,3,Toronto Maple Leafs,6,20222023,Final,3,6,6,3,3,6,,
50,2022-09-30,2022010052,Detroit Red Wings,0,Washington Capitals,2,20222023,Final,19,31,52,40,27,41,1.305263157894737,1.3559322033898304
51,2022-10-01,2022010053,Edmonton Oilers,2,Calgary Flames,1,20222023,Final,38,22,48,58,47,28,-7.291666666666667,-10.717557251908397
52,2022-10-01,2022010054,Anaheim Ducks,4,San Jose Sharks,1,20222023,Final,31,31,59,58,43,49,19.34285714285714,4.761904761904762
53,2022-10-01,2022010055,Vegas Golden Knights,3,San Jose Sharks,7,20222023,Final,30,39,57,48,38,44,-0.46017699115044247,13.818965517241379
54,2022-10-01,2022010056,Carolina Hurricanes,4,Florida Panthers,3,20222023,Final,47,10,36,82,74,20,-10.032679738562091,-3.519230769230769
55,2022-10-01,2022010057,Boston Bruins,4,Philadelphia Flyers,0,20222023,Final,26,21,37,40,33,31,-6.45945945945946,-20.674157303370787
56,2022-10-01,2022010058,Buffalo Sabres,3,Pittsburgh Penguins,1,20222023,Final,35,33,50,51,41,41,12.44,-6.288659793814433
57,2022-10-01,2022010059,Ottawa Senators,5,Montréal Canadiens,4,20222023,Final,34,16,30,53,43,21,-3.2290076335877864,7.1265822784810124
58,2022-10-01,2022010060,Columbus Blue Jackets,2,Washington Capitals,1,20222023,Final,20,35,51,45,32,45,-2.0760869565217392,0.900990099009901
59,2022-10-02,2022010061,St. Louis Blues,2,Dallas Stars,5,20222023,Final,2,5,5,2,2,5,,
60,2022-10-02,2022010062,Winnipeg Jets,2,Edmonton Oilers,3,20222023,Final,36,28,50,52,44,35,-0.09523809523809523,1.536
61,2022-10-02,2022010063,Chicago Blackhawks,0,Detroit Red Wings,3,20222023,Final,21,35,57,33,28,47,-13.65137614678899,-13.1
62,2022-10-02,2022010064,Seattle Kraken,4,Vancouver Canucks,0,20222023,Final,26,17,44,50,39,28,12.360824742268042,11.310679611650485
63,2022-10-02,2022010065,New York Islanders,2,Philadelphia Flyers,1,20222023,Final,23,25,53,47,33,34,-2.482142857142857,3.4365079365079363
64,2022-10-02,2022010066,Chicago Blackhawks,0,Minnesota Wild,3,20222023,Final,0,3,3,0,0,3,,
65,2022-10-03,2022010067,Los Angeles Kings,2,Anaheim Ducks,1,20222023,Final,33,25,47,61,51,35,-7.694214876033058,15.046728971962617
66,2022-10-03,2022010107,SC Bern,3,Nashville Predators,4,20222023,Final,3,4,4,3,3,4,,
